id,time,feature,datetime,year,month,day,dayofweek_num,dayofweek_name,hour,minute,second,lag_1,lag_2,lag_3,rolling_mean_3,rolling_mean_9,rolling_mean_12,expanding_mean
20,2019-03-19 00:03:20,40.43,2019-03-19 00:03:20,2019,3,19,1,Tuesday,0,3,20,29.97,54.46,46.4,41.62000000000001,78.25111111111113,95.84250000000003,113.19619047619047
21,2019-03-19 00:03:30,21.36,2019-03-19 00:03:30,2019,3,19,1,Tuesday,0,3,30,40.43,29.97,54.46,30.586666666666673,49.24000000000003,80.46666666666668,109.02181818181818
22,2019-03-19 00:03:40,46.59,2019-03-19 00:03:40,2019,3,19,1,Tuesday,0,3,40,21.36,40.43,29.97,36.12666666666667,40.78222222222225,70.49666666666668,106.30739130434783
23,2019-03-19 00:03:50,43.11,2019-03-19 00:03:50,2019,3,19,1,Tuesday,0,3,50,46.59,21.36,40.43,37.02,42.01222222222225,67.94333333333336,103.67416666666668
24,2019-03-19 00:04:00,55.62,2019-03-19 00:04:00,2019,3,19,1,Tuesday,0,4,0,43.11,46.59,21.36,48.44,43.66666666666669,49.04000000000002,101.75200000000001
25,2019-03-19 00:04:10,27.36,2019-03-19 00:04:10,2019,3,19,1,Tuesday,0,4,10,55.62,43.11,46.59,42.03,40.58888888888892,41.09416666666669,98.89076923076924
26,2019-03-19 00:04:20,50.94,2019-03-19 00:04:20,2019,3,19,1,Tuesday,0,4,20,27.36,55.62,43.11,44.64000000000001,41.09333333333336,42.66916666666669,97.11481481481484
27,2019-03-19 00:04:30,116.61,2019-03-19 00:04:30,2019,3,19,1,Tuesday,0,4,30,50.94,27.36,55.62,64.97000000000001,47.99888888888892,48.99250000000003,97.81107142857145
28,2019-03-19 00:04:40,91.8,2019-03-19 00:04:40,2019,3,19,1,Tuesday,0,4,40,116.61,50.94,27.36,86.45,54.86888888888892,52.054166666666696,97.6037931034483
29,2019-03-19 00:04:50,198.32,2019-03-19 00:04:50,2019,3,19,1,Tuesday,0,4,50,91.8,116.61,50.94,135.57666666666668,72.41222222222227,64.71416666666669,100.96100000000003
30,2019-03-19 00:05:00,326.76,2019-03-19 00:05:00,2019,3,19,1,Tuesday,0,5,0,198.32,91.8,116.61,205.62666666666667,106.34555555555559,87.40583333333336,108.24483870967745
31,2019-03-19 00:05:10,266.69,2019-03-19 00:05:10,2019,3,19,1,Tuesday,0,5,10,326.76,198.32,91.8,263.92333333333335,130.80111111111117,107.13250000000004,113.19625000000003
32,2019-03-19 00:05:20,205.95,2019-03-19 00:05:20,2019,3,19,1,Tuesday,0,5,20,266.69,326.76,198.32,266.4666666666667,148.8944444444445,120.92583333333336,116.00696969696972
33,2019-03-19 00:05:30,149.42,2019-03-19 00:05:30,2019,3,19,1,Tuesday,0,5,30,205.95,266.69,326.76,207.35333333333335,159.31666666666675,131.59750000000005,116.98970588235296
34,2019-03-19 00:05:40,233.22,2019-03-19 00:05:40,2019,3,19,1,Tuesday,0,5,40,149.42,205.95,266.69,196.19666666666672,182.1900000000001,147.15000000000006,120.31057142857145
35,2019-03-19 00:05:50,63.63,2019-03-19 00:05:50,2019,3,19,1,Tuesday,0,5,50,233.22,149.42,205.95,148.75666666666672,183.6000000000001,148.86000000000007,118.73611111111114
36,2019-03-19 00:06:00,89.77,2019-03-19 00:06:00,2019,3,19,1,Tuesday,0,6,0,63.63,233.22,149.42,128.87333333333342,180.6177777777779,151.7058333333334,117.95324324324328
37,2019-03-19 00:06:10,255.79,2019-03-19 00:06:10,2019,3,19,1,Tuesday,0,6,10,89.77,63.63,233.22,136.39666666666673,198.83888888888902,170.74166666666676,121.58052631578951
38,2019-03-19 00:06:20,161.08,2019-03-19 00:06:20,2019,3,19,1,Tuesday,0,6,20,255.79,89.77,63.63,168.88000000000008,194.70111111111123,179.92000000000007,122.59333333333336
39,2019-03-19 00:06:30,123.41,2019-03-19 00:06:30,2019,3,19,1,Tuesday,0,6,30,161.08,255.79,89.77,180.0933333333334,172.1066666666668,180.4866666666667,122.61375000000002
40,2019-03-19 00:06:40,239.69,2019-03-19 00:06:40,2019,3,19,1,Tuesday,0,6,40,123.41,161.08,255.79,174.72666666666677,169.1066666666668,192.81083333333336,125.46926829268294
41,2019-03-19 00:06:50,108.12,2019-03-19 00:06:50,2019,3,19,1,Tuesday,0,6,50,239.69,123.41,161.08,157.0733333333334,158.2366666666668,185.29416666666668,125.0561904761905
42,2019-03-19 00:07:00,94.31,2019-03-19 00:07:00,2019,3,19,1,Tuesday,0,7,0,108.12,239.69,123.41,147.37333333333342,152.11333333333346,165.92333333333335,124.3411627906977
43,2019-03-19 00:07:10,224.3,2019-03-19 00:07:10,2019,3,19,1,Tuesday,0,7,10,94.31,108.12,239.69,142.24333333333342,151.12222222222235,162.39083333333335,126.61295454545457
44,2019-03-19 00:07:20,184.75,2019-03-19 00:07:20,2019,3,19,1,Tuesday,0,7,20,224.3,94.31,108.12,167.78666666666675,164.5800000000001,160.62416666666667,127.90488888888892
45,2019-03-19 00:07:30,113.74,2019-03-19 00:07:30,2019,3,19,1,Tuesday,0,7,30,184.75,224.3,94.31,174.2633333333334,167.24333333333345,157.65083333333334,127.59695652173914
46,2019-03-19 00:07:40,146.06,2019-03-19 00:07:40,2019,3,19,1,Tuesday,0,7,40,113.74,184.75,224.3,148.18333333333337,155.05111111111123,150.3875,127.98978723404258
47,2019-03-19 00:07:50,326.35,2019-03-19 00:07:50,2019,3,19,1,Tuesday,0,7,50,146.06,113.74,184.75,195.38333333333335,173.41444444444454,172.28083333333333,132.1222916666667
48,2019-03-19 00:08:00,126.81,2019-03-19 00:08:00,2019,3,19,1,Tuesday,0,8,0,326.35,146.06,113.74,199.74,173.7922222222223,175.36749999999998,132.01387755102044
49,2019-03-19 00:08:10,192.0,2019-03-19 00:08:10,2019,3,19,1,Tuesday,0,8,10,126.81,326.35,146.06,215.05333333333337,168.49333333333342,170.05166666666665,133.21360000000004
50,2019-03-19 00:08:20,187.7,2019-03-19 00:08:20,2019,3,19,1,Tuesday,0,8,20,192.0,126.81,326.35,168.8366666666667,177.33555555555566,172.26999999999998,134.28196078431375
51,2019-03-19 00:08:30,194.04,2019-03-19 00:08:30,2019,3,19,1,Tuesday,0,8,30,187.7,192.0,126.81,191.24666666666667,188.41666666666677,178.15583333333333,135.43115384615388
52,2019-03-19 00:08:40,293.84,2019-03-19 00:08:40,2019,3,19,1,Tuesday,0,8,40,194.04,187.7,192.0,225.1933333333333,196.14333333333343,182.66833333333332,138.42000000000004
53,2019-03-19 00:08:50,201.54,2019-03-19 00:08:50,2019,3,19,1,Tuesday,0,8,50,293.84,194.04,187.7,229.80666666666662,198.00888888888898,190.45333333333335,139.58888888888893
54,2019-03-19 00:09:00,123.67,2019-03-19 00:09:00,2019,3,19,1,Tuesday,0,9,0,201.54,293.84,194.04,206.34999999999994,199.11222222222233,192.9,139.29945454545458
55,2019-03-19 00:09:10,260.87,2019-03-19 00:09:10,2019,3,19,1,Tuesday,0,9,10,123.67,201.54,293.84,195.35999999999999,211.86888888888902,195.9475,141.47035714285718
56,2019-03-19 00:09:20,28.26,2019-03-19 00:09:20,2019,3,19,1,Tuesday,0,9,20,260.87,123.67,201.54,137.6,178.74777777777788,182.90666666666667,139.48421052631582
57,2019-03-19 00:09:30,131.97,2019-03-19 00:09:30,2019,3,19,1,Tuesday,0,9,30,28.26,260.87,123.67,140.36666666666665,179.32111111111124,184.42583333333334,139.35465517241383
58,2019-03-19 00:09:40,76.73,2019-03-19 00:09:40,2019,3,19,1,Tuesday,0,9,40,131.97,28.26,260.87,78.98666666666666,166.51333333333343,178.64833333333334,138.29322033898308
59,2019-03-19 00:09:50,113.35,2019-03-19 00:09:50,2019,3,19,1,Tuesday,0,9,50,76.73,131.97,28.26,107.34999999999998,158.25222222222231,160.89833333333334,137.87750000000003
60,2019-03-19 00:10:00,67.01,2019-03-19 00:10:00,2019,3,19,1,Tuesday,0,10,0,113.35,76.73,131.97,85.69666666666664,144.13777777777787,155.91500000000002,136.71573770491807
61,2019-03-19 00:10:10,65.89,2019-03-19 00:10:10,2019,3,19,1,Tuesday,0,10,10,67.01,113.35,76.73,82.0833333333333,118.81000000000012,145.40583333333336,135.5733870967742
62,2019-03-19 00:10:20,88.47,2019-03-19 00:10:20,2019,3,19,1,Tuesday,0,10,20,65.89,67.01,113.35,73.78999999999998,106.2466666666668,137.13666666666668,134.8257142857143
63,2019-03-19 00:10:30,201.17,2019-03-19 00:10:30,2019,3,19,1,Tuesday,0,10,30,88.47,65.89,67.01,118.50999999999998,114.85777777777791,137.73083333333338,135.86234375
64,2019-03-19 00:10:40,110.79,2019-03-19 00:10:40,2019,3,19,1,Tuesday,0,10,40,201.17,88.47,65.89,133.47666666666666,98.18222222222235,122.4766666666667,135.4766153846154
65,2019-03-19 00:10:50,157.37,2019-03-19 00:10:50,2019,3,19,1,Tuesday,0,10,50,110.79,201.17,88.47,156.4433333333333,112.5277777777779,118.79583333333339,135.80833333333337
66,2019-03-19 00:11:00,199.37,2019-03-19 00:11:00,2019,3,19,1,Tuesday,0,11,0,157.37,110.79,201.17,155.84333333333333,120.01666666666681,125.1041666666667,136.75701492537317
67,2019-03-19 00:11:10,173.72,2019-03-19 00:11:10,2019,3,19,1,Tuesday,0,11,10,199.37,157.37,110.79,176.82000000000002,130.79333333333346,117.8416666666667,137.30058823529416
68,2019-03-19 00:11:20,188.69,2019-03-19 00:11:20,2019,3,19,1,Tuesday,0,11,20,173.72,199.37,157.37,187.26000000000002,139.1644444444446,131.21083333333337,138.04536231884063
69,2019-03-19 00:11:30,155.62,2019-03-19 00:11:30,2019,3,19,1,Tuesday,0,11,30,188.69,173.72,199.37,172.6766666666667,149.01000000000013,133.1816666666667,138.29642857142863
70,2019-03-19 00:11:40,156.46,2019-03-19 00:11:40,2019,3,19,1,Tuesday,0,11,40,155.62,188.69,173.72,166.92333333333337,159.07333333333347,139.82583333333338,138.5522535211268
71,2019-03-19 00:11:50,111.91,2019-03-19 00:11:50,2019,3,19,1,Tuesday,0,11,50,156.46,155.62,188.69,141.33,161.67777777777792,139.7058333333334,138.18222222222226
72,2019-03-19 00:12:00,153.83,2019-03-19 00:12:00,2019,3,19,1,Tuesday,0,12,0,111.91,156.46,155.62,140.73333333333335,156.4177777777779,146.9408333333334,138.39657534246578
73,2019-03-19 00:12:10,83.51,2019-03-19 00:12:10,2019,3,19,1,Tuesday,0,12,10,153.83,111.91,156.46,116.41666666666667,153.3866666666668,148.40916666666672,137.6548648648649
74,2019-03-19 00:12:20,401.43,2019-03-19 00:12:20,2019,3,19,1,Tuesday,0,12,20,83.51,153.83,111.91,212.92333333333337,180.5044444444446,174.48916666666673,141.17186666666672
75,2019-03-19 00:12:30,469.72,2019-03-19 00:12:30,2019,3,19,1,Tuesday,0,12,30,401.43,83.51,153.83,318.2200000000001,210.54333333333346,196.86833333333342,145.49486842105267
76,2019-03-19 00:12:40,406.79,2019-03-19 00:12:40,2019,3,19,1,Tuesday,0,12,40,469.72,401.43,83.51,425.9800000000001,236.44000000000017,221.53500000000008,148.88831168831172
77,2019-03-19 00:12:50,128.91,2019-03-19 00:12:50,2019,3,19,1,Tuesday,0,12,50,406.79,469.72,401.43,335.1400000000001,229.79777777777792,219.1633333333334,148.6321794871795
78,2019-03-19 00:13:00,85.28,2019-03-19 00:13:00,2019,3,19,1,Tuesday,0,13,0,128.91,406.79,469.72,206.99333333333342,221.9822222222224,209.65583333333345,147.830253164557
79,2019-03-19 00:13:10,121.12,2019-03-19 00:13:10,2019,3,19,1,Tuesday,0,13,10,85.28,128.91,406.79,111.77000000000008,218.0555555555557,205.27250000000012,147.49637500000006
